参数名,I/O编号
省煤器进口给水温度,30LAB80CT102
过热度,Superheat 
启动分离器壁温高值,Start-Up Separator WT
过热器二级减温器出口温度A1,30HAH21CT111
过热器二级减温器出口温度B1,30HAH22CT111
一次再热再热器事故喷水减温器进口温度A,30LBB11CT101
一次再热再热器事故喷水减温器出口温度A1,30LBC21CT112
一次再热高温再热器出口蒸汽温度A1,30LBB11CT101
一次再热再热器事故喷水减温器进口温度B,30LBC22CT101
一次再热再热器事故喷水减温器出口温度B1,30LBC22CT112
一次再热高温再热器出口蒸汽温度B1,30LBB12CT101
二次再热再热器事故喷水减温器进口温度A,30LBC51CT102
二次再热再热器事故喷水减温器出口温度A1,30LBC51CT111
二次再热再热器微量喷水减温器进口温度A1,30HAJ31CT101
二次再热再热器微量喷水减温器出口温度A1,30HAJ31CT111
二次再热高温再热器出口蒸汽温度A2,30LBB41CT102
二次再热再热器事故喷水减温器进口温度B,30LBC52CT102
二次再热再热器事故喷水减温器出口温度B1,30LBC52CT111
二次再热再热器微量喷水减温器进口温度B1,30HAJ32CT101
二次再热再热器微量喷水减温器出口温度B1,30HAJ32CT111
二次再热高温再热器出口蒸汽温度B2,30LBB42CT102
高温过热器出口主蒸汽压力,HTS(MST)
